num_episodes,gaze_method,train_loss,train_acc,val_acc,mean_reward,std_reward
1,None,1.6807025940413571,0.31450032658393207,0.4241486068111455,44.8,18.57309882599024
2,None,1.227301945938206,0.5035810205908684,0.56657223796034,74.8,18.24719156473127
3,None,0.9272596368440864,0.6496019919266609,0.7084527220630372,84.8,11.702991070662236
4,None,0.5985811318408979,0.7894055509527754,0.8775209050664043,118.4,30.42104534693047
5,None,0.3898076857301572,0.8695286008732076,0.904,78.4,14.880860190190619
6,None,0.3037959839827861,0.9001153586061498,0.9131091802040046,104.0,26.5329983228432
7,None,0.27134290783642423,0.9107406011172419,0.9296875,108.0,30.199337741083
8,None,0.21545851992081452,0.9306560121284861,0.9357935793579358,79.6,21.721878371816743
9,None,0.21699138802375814,0.9304438031147345,0.9408792319353209,124.4,34.7079241672561
10,None,0.20065576071561358,0.9348673499805095,0.9470703550424744,114.8,32.20186330012597
11,None,0.17299192404576721,0.9443621532780067,0.9496915959907479,90.4,26.302851556437755
12,None,0.12975187333980395,0.9572409204995616,0.9594025277671391,74.0,28.071337695236398
13,None,0.17002444412767928,0.9457781713526677,0.9569313593539704,112.8,36.60819580367216
14,None,0.11674567815005261,0.9609593745047282,0.9578454332552693,136.4,53.916973208814305
15,None,0.0977641676870293,0.9678336575789853,0.9670513463789931,130.4,42.93995808102285
16,None,0.12026733305909569,0.9613587095391565,0.9636705292828062,105.6,31.506189868024347
17,None,0.11429732522807673,0.9630416145599836,0.9665271966527197,100.8,35.5437758264369
18,None,0.11711751652230312,0.9625454330545787,0.9630877192982457,103.2,38.23297006511527
19,None,0.09733749923185489,0.9688971034164091,0.9684499314128944,139.2,39.18367006802706
20,None,0.11234408139748944,0.964502925171458,0.9675207039337475,114.0,33.52610922848042
21,None,0.0939425384937306,0.9697640949456496,0.9664818548387096,98.4,28.238980151556465
22,None,0.1197687578810234,0.9626861560497273,0.9663914408652169,116.0,36.66060555964672
23,None,0.10832096127123832,0.9652874604945157,0.9669977924944813,86.4,38.8720979624203
24,None,0.08600225522117715,0.9721985556057479,0.9702335687126562,86.4,36.31859028101174
25,None,0.07631615660654902,0.9747422563357253,0.9699061589904002,109.6,32.8
26,None,0.09355043075751515,0.970836037205278,0.9687660536319737,105.6,32.009998437988095
27,None,0.0762714837713889,0.9752807428064665,0.9732034104750305,108.0,45.78209256903839
28,None,0.10328396744707762,0.9681779247425351,0.9714258681048349,133.2,34.318508126082634
