epoch,loss
1,7744.979350088645
2,7671.631415989167
3,7644.140455569643
4,7625.015332889883
5,7609.036981345422
6,7595.520521024807
7,7584.028669523409
8,7573.750664775365
9,7564.744289887454
10,7557.35869093866
11,7550.120555614758
12,7544.442169360535
13,7539.104441177014
14,7534.309763488401
15,7529.609474649744
16,7525.608998981754
17,7522.043835412403
18,7519.032965603008
19,7515.684773988357
20,7513.108832197186
21,7510.377769841889
22,7507.705159270859
23,7505.579541811858
24,7503.652217534202
25,7501.460047349978
26,7499.50447485342
27,7498.018306357709
28,7496.291737750761
29,7494.773672542604
30,7493.097848419169
31,7491.765387910653
32,7490.525452376724
33,7489.092456350467
34,7488.05815779381
35,7486.609494684526
36,7485.833478446834
37,7484.574428524485
38,7483.625422103237
39,7482.672407652301
40,7481.899077032206
41,7480.941873448136
42,7480.202776970544
43,7479.033379852078
44,7478.106041180662
45,7477.606157587072
46,7476.8298615946005
47,7475.9425205765865
48,7475.441907460673
49,7474.624874649491
50,7474.0527722979805
51,7473.348469580612
52,7472.824406309838
53,7472.02809012051
54,7471.519647972574
55,7470.881841004436
56,7470.159760221932
57,7469.94666817582
58,7469.259636039565
59,7468.693130772147
60,7468.279957706642
61,7467.6326838214545
62,7467.254376659692
63,7466.956678777615
64,7466.599563664414
65,7465.841309084635
66,7465.60921887347
67,7465.201556637663
68,7464.6328002694645
69,7464.322671612218
70,7463.931848144739
71,7463.624556106442
72,7463.278486672743
73,7462.586693047571
74,7462.71231574823
75,7462.032868848656
76,7461.897358758448
77,7461.539924137067
78,7461.034352104771
79,7460.6382122731075
80,7460.703107303164
81,7460.341790410288
82,7459.849306881409
83,7459.504752386735
84,7459.372098176489
85,7459.06421666798
86,7458.808686635509
87,7458.662447545147
88,7458.21084176902
89,7457.912173323229
90,7457.950747333976
91,7457.46755677398
92,7457.080435672641
93,7456.810660028254
94,7456.6925113496045
95,7456.40330584386
96,7456.249370609987
97,7456.028842323403
98,7455.674203369477
99,7455.698631151809
100,7455.227957479936
