percentage,n_samples,best_val_loss,mean_reward,std_reward,median_reward,model,
10,15417,2.1089024543762207,3937.0,3012.885825915081,3350.0,NSFR
20,30834,2.0900609493255615,3774.0,3735.816376643799,2400.0,NSFR
30,46251,2.0848410924275718,3054.0,2451.098529231332,2425.0,NSFR
40,61669,1.9414397776126862,3596.0,3500.6119465030683,2700.0,NSFR
50,77086,2.0573837757110596,3909.0,3785.4153008619805,2800.0,NSFR
60,92503,2.089377021789551,5019.0,3966.0041603609043,4075.0,NSFR
70,107921,2.092516382535299,4068.0,3621.0600657818422,2275.0,NSFR
80,123338,2.1382289613996233,3381.0,2861.7807393299718,2450.0,NSFR
90,138755,2.1122075148991177,3505.0,3348.6452484549627,2650.0,NSFR
100,154173,2.117361068725586,4043.0,3078.0190057892755,3550.0,NSFR
10,17746,0.9087837837837838,152.0,130.75167302944922,125.0,BC
20,35493,0.9126760563380282,170.0,128.4523257866513,150.0,BC
30,53240,0.9087152516904583,137.0,132.59336333316233,100.0,BC
40,70987,0.9076056338028169,93.0,133.79461872586654,50.0,BC
50,88734,0.9069190894748704,160.0,149.33184523068078,150.0,BC
60,106481,0.9096713615023474,206.0,189.1137224000416,150.0,BC
70,124228,0.9113007083065036,248.0,179.15356541246953,250.0,BC
80,141975,0.9108325116213551,306.0,223.74986033515194,275.0,BC
90,159722,0.9077250532114687,264.0,204.70466531078378,250.0,BC
100,177469,0.9135677259409511,251.0,184.52371121349148,225.0,BC
10,17746,0.920045045045045,126.0,142.56226709757388,100.0,AGIL
20,35493,0.9222535211267605,163.0,145.8800877433243,100.0,AGIL
30,53240,0.9117205108940646,185.0,171.82840277439584,150.0,AGIL
40,70987,0.9152112676056338,129.0,130.41855696180662,100.0,AGIL
50,88734,0.9166103222898355,178.0,169.75276139138356,150.0,AGIL
60,106481,0.9171830985915493,173.0,190.31815467789718,150.0,AGIL
70,124228,0.919832582099163,165.0,129.71121771072848,150.0,AGIL
80,141975,0.9139315396534723,199.0,158.8993392056745,175.0,AGIL
90,159722,0.9167397020157756,170.0,161.86414056238647,150.0,AGIL
100,177469,0.9169483885508226,228.0,175.25980714356615,200.0,AGIL
10,17746,0.9042792792792793,180.0,130.7669683062202,200.0,BC+Mask
20,35493,0.9149295774647888,86.0,112.26753760548951,50.0,BC+Mask
30,53240,0.9030803906836965,153.0,126.65306944563167,150.0,BC+Mask
40,70987,0.9056338028169014,184.0,171.88368159892318,150.0,BC+Mask
50,88734,0.9048906919089474,185.0,163.783393541592,150.0,BC+Mask
60,106481,0.9087323943661972,225.0,186.61457606521523,175.0,BC+Mask
70,124228,0.9113007083065036,223.0,152.05591076969023,200.0,BC+Mask
80,141975,0.9126637554585153,234.0,119.34822998268554,250.0,BC+Mask
90,159722,0.9141104294478528,251.0,153.45683432157722,200.0,BC+Mask
100,177469,0.9158215010141988,211.0,176.43412368360038,150.0,BC+Mask
0,1,2.5643813610076904,4386.0,3670.2185221046443,3175.0,GRAIL
10,15417,2.6586151123046875,5158.0,3687.56505027369,4050.0,GRAIL
20,30834,2.6586151123046875,4460.0,3060.375793918126,3625.0,GRAIL
30,46251,2.6586122512817383,5005.0,3610.2804600196923,3950.0,GRAIL
40,61669,2.6586098670959473,4404.0,2826.7621053070598,3925.0,GRAIL
50,77086,2.6586148738861084,4994.0,3188.238385064705,4525.0,GRAIL
60,92503,2.6586138248443603,3676.0,2479.7830550271933,3225.0,GRAIL
70,107921,2.658613642056783,3890.0,2744.867938535477,3500.0,GRAIL
80,123338,2.658613307135446,3139.0,2359.518806875673,2550.0,GRAIL
90,138755,2.658613818032401,2918.0,1577.0466067938512,2550.0,GRAIL
100,154173,2.6586130261421204,3152.0,1801.997780242806,3100.0,GRAIL
