epoch,loss
1,608.4144245264914
2,592.6039812755874
3,585.6309495753699
4,580.608996683047
5,576.9289573150277
6,574.1041095151422
7,571.8460995788843
8,569.8770562841576
9,568.2807704249391
10,566.9034456298733
