epoch,loss
1,7721.939998690084
2,7646.538742259652
3,7614.438327374927
4,7592.148590839299
5,7575.14057901485
6,7561.793842684163
7,7550.822621425422
8,7542.102820439698
9,7534.052135586286
10,7527.732551219153
11,7522.0400679249
12,7517.27914791207
13,7513.005763477618
14,7509.040381168051
15,7505.429863827713
16,7502.300132532412
17,7499.492044985141
18,7496.932729084419
19,7494.679406996412
20,7492.324558317922
21,7490.4108633663145
22,7488.617781604503
23,7486.725554104827
24,7485.04932811262
25,7483.398705773053
26,7481.888202779883
27,7480.689181324228
28,7479.434148375665
29,7478.121149245015
30,7476.998028204714
31,7476.0763516305915
32,7474.732459465176
33,7473.773195759722
34,7472.702788843316
35,7471.960388457117
36,7470.934660410779
37,7470.1507386794165
38,7469.3239308498505
39,7468.539498589312
40,7468.048096298012
41,7467.34700644248
42,7466.679196298398
43,7466.016633445093
44,7465.1799744849395
45,7464.669970996824
46,7464.061544911658
47,7463.227314178728
48,7463.0107728803205
49,7462.378752877421
50,7461.889649036547
51,7461.417507251127
52,7460.867023011778
53,7460.548583231407
54,7460.025068371189
55,7459.4828702281275
56,7459.313624135975
57,7458.75790096754
58,7458.273028209705
59,7457.801877405505
60,7457.545481709043
61,7457.212346258008
62,7456.890827427843
63,7456.504285579643
64,7456.109583875915
65,7455.818034999566
66,7455.3668368247545
67,7455.102315776186
68,7454.696293688471
69,7454.416452263438
70,7454.31984589259
71,7453.841228063578
72,7453.663459401478
73,7453.2654769356395
74,7452.899814708219
75,7452.669257765242
76,7452.4955009267915
77,7452.100626980515
78,7451.840030877193
79,7451.396558115977
80,7451.404521775412
81,7451.203826916257
82,7450.902847323579
83,7450.533176475745
84,7450.510217505846
85,7450.176323046083
86,7450.205686797984
87,7449.849178610547
88,7449.567109014906
89,7449.396223465229
90,7449.167496950852
91,7449.018455328959
92,7448.723719008655
93,7448.645863388279
94,7448.397940923618
95,7448.160981137219
96,7447.9754035693995
97,7447.834913845778
98,7447.6571269543565
99,7447.4892331267865
100,7447.330310521815
101,7447.150481962972
102,7446.9297980241045
103,7446.768383784486
104,7446.4648078238415
105,7446.330481341627
106,7446.253498399081
107,7446.05357461279
108,7445.990223949924
109,7445.876082003028
110,7445.767638861673
111,7445.524287231015
112,7445.281212135261
113,7445.048271835317
114,7444.9726201824005
115,7444.862370973675
116,7444.807508435575
117,7444.808772249257
118,7444.494330581025
119,7444.595959275678
120,7444.25838299208
121,7444.100111667285
122,7443.834307119696
123,7443.958225640834
124,7443.762176038907
125,7443.670630796774
126,7443.480507421788
127,7443.4855207099745
128,7443.16733159734
129,7443.223034730993
130,7443.057704282225
131,7442.986496598546
132,7442.695182082555
133,7442.732814175666
134,7442.526573700508
135,7442.6798998620325
136,7442.272951273812
137,7442.2234145931225
138,7442.045080222994
139,7442.084240875122
140,7441.840541098526
141,7441.800464836894
142,7441.71839620472
143,7441.596102531025
144,7441.46675528286
145,7441.4251096771195
146,7441.283537917189
147,7441.20780112477
148,7441.204912130841
149,7441.102339638211
150,7441.031469417471
