epoch,num_episodes,gaze_method,train_loss,train_acc,val_acc,mean_reward,std_reward
1,1,AGIL,1.4266819971827103,0.4368060091443501,0.5232198142414861,0.0,0.0
2,1,AGIL,1.1158830794456502,0.5615610711952972,0.6563467492260062,0.0,0.0
3,1,AGIL,0.7805218121960301,0.7139124755062051,0.7987616099071208,0.0,0.0
4,1,AGIL,0.5202221668950099,0.8187459177008491,0.8637770897832817,190.0,32.55764119219941
5,1,AGIL,0.3476296790591414,0.8785107772697583,0.891640866873065,234.0,32.31098884280702
6,1,AGIL,0.2552775114112863,0.9119856303069889,0.9256965944272446,178.0,26.0
7,1,AGIL,0.23381733471937696,0.9219464402351404,0.9380804953560371,218.0,27.49545416973504
8,1,AGIL,0.19220425296577265,0.9323971260613978,0.9380804953560371,168.0,51.536394906900505
9,1,AGIL,0.17528055020401792,0.942194644023514,0.9442724458204335,152.0,40.19950248448356
10,1,AGIL,0.14399147397704096,0.9469301110385369,0.9411764705882353,212.0,24.0
11,1,AGIL,0.13877189647014587,0.951828870019595,0.9473684210526315,208.0,28.5657137141714
12,1,AGIL,0.1316176116232931,0.9555845852384063,0.9504643962848297,190.0,20.493901531919196
13,1,AGIL,0.11808413931896763,0.959013716525147,0.9628482972136223,208.0,28.5657137141714
14,1,AGIL,0.10910800506210576,0.9617896799477466,0.9628482972136223,118.0,36.27671429443411
15,1,AGIL,0.10786487019038683,0.9611365120836055,0.9659442724458205,224.0,41.7612260356422
16,1,AGIL,0.10044284613594986,0.9619529719137818,0.9473684210526315,124.0,19.595917942265423
17,1,AGIL,0.10256718746845743,0.9640757674722403,0.9566563467492261,154.0,81.01851640211638
18,1,AGIL,0.07925147096523656,0.9706074461136512,0.9566563467492261,92.0,37.094473981982816
19,1,AGIL,0.09131548407224173,0.967504898758981,0.9566563467492261,148.0,40.19950248448356
20,1,AGIL,0.07830828687408482,0.9712606139777923,0.9566563467492261,96.0,19.595917942265423
