epoch,num_episodes,gaze_method,train_loss,train_acc,val_acc,mean_reward,std_reward
1,8,None,1.1127628965039091,0.5562995483402293,0.7038703870387039,78.0,10.770329614269007
2,8,None,0.6002603121720052,0.7906414832127855,0.8304830483048304,98.0,22.715633383201094
3,8,None,0.37343792257040576,0.875082909573292,0.888988898889889,100.0,28.284271247461902
4,8,None,0.2635181052050502,0.9130475979912195,0.9186918691869187,90.0,30.0
5,8,None,0.20273996565409422,0.9326932187865197,0.9291929192919292,130.0,38.2099463490856
6,8,None,0.16601105905425198,0.9449006664350462,0.936993699369937,90.0,28.635642126552707
7,8,None,0.13772422533681986,0.9535548466567701,0.9366936693669367,112.0,41.182520563948
8,8,None,0.1183015065910292,0.959208489940305,0.9495949594959496,102.0,26.0
9,8,None,0.1056966597640218,0.9630618110609267,0.942994299429943,88.0,13.2664991614216
10,8,None,0.09070349561374046,0.9681627238558479,0.9414941494149415,88.0,24.0
11,8,None,0.08605319516547559,0.9701999305138814,0.9516951695169517,100.0,23.664319132398465
12,8,None,0.07603367423569105,0.9747323205205142,0.9564956495649565,76.0,24.979991993593593
13,8,None,0.07247269144205559,0.9750007896149837,0.9555955595559555,162.0,57.584720195551874
14,8,None,0.06406601527005407,0.9779697419538234,0.9537953795379538,100.0,54.405882034941776
15,8,None,0.05997923908565807,0.9793278797258457,0.957995799579958,96.0,21.540659228538015
16,8,None,0.05395279410728919,0.9816019708789994,0.9471947194719472,92.0,25.612496949731394
17,8,None,0.05831430074515709,0.9800859101102303,0.9564956495649565,100.0,40.0
18,8,None,0.05646905501002684,0.9806702251981934,0.957995799579958,132.0,58.787753826796276
19,8,None,0.04967125435788506,0.9835286314393102,0.9564956495649565,118.0,32.802438933713454
20,8,None,0.05058704004035716,0.9833391238432141,0.9582958295829583,94.0,25.37715508089904
