epoch,num_episodes,gaze_method,train_loss,train_acc,val_acc,mean_reward,std_reward
1,16,None,0.9516555797510269,0.6265197286537367,0.7643282179768243,70.0,16.1245154965971
2,16,None,0.5184123137285398,0.8179292950107566,0.8545255245850297,84.0,12.0
3,16,None,0.3155875891839368,0.8935880845030951,0.9036955840901973,70.0,13.416407864998739
4,16,None,0.21839614576981659,0.9272920599071883,0.9281240212965863,96.0,33.2264954516723
5,16,None,0.167055146211543,0.9433816074710891,0.9354838709677419,100.0,54.405882034941776
6,16,None,0.13733245907903238,0.9533221783532941,0.9453492013780144,108.0,25.612496949731394
7,16,None,0.11697929602782453,0.9595783087841346,0.9481678672095208,72.0,47.49736834815167
8,16,None,0.10244889506021065,0.9657355280619184,0.9494206075790792,102.0,58.27520913733386
9,16,None,0.09053471282909611,0.9685380107318601,0.9497337926714688,120.0,44.721359549995796
10,16,None,0.08289946251976493,0.9718268065709976,0.9531788286877545,78.0,35.156791662493895
11,16,None,0.07704656366733421,0.9732527756942326,0.9555277168806765,134.0,32.31098884280702
12,16,None,0.07400554857562287,0.9747364429900841,0.9545881616035077,120.0,21.908902300206645
13,16,None,0.06683351344114043,0.9770196421064778,0.9555277168806765,84.0,24.979991993593593
14,16,None,0.0629130180910177,0.9788082854575877,0.9600689007203257,148.0,36.0
15,16,None,0.058815810024011685,0.9802919527534393,0.9581897901659882,144.0,38.781438859330635
16,16,None,0.057938178501148525,0.9803166805417034,0.95662386470404,96.0,54.258639865002145
17,16,None,0.055384351239032716,0.9816107681275295,0.9570936423426245,122.0,49.35585071701227
18,16,None,0.04941742947764161,0.9833829262864632,0.9591293454431569,106.0,55.89275444992848
19,16,None,0.048581701484704067,0.9836631745534573,0.9599123081741309,126.0,53.70288632839021
20,16,None,0.046632727778979276,0.9843308248365905,0.9567804572502349,148.0,31.240998703626616
